S.No.	Device	Link
1	UK07PA9247	https://intouch.mapmyindia.com/track/#/lte4ujk8
2	UK07PA7717	https://intouch.mapmyindia.com/track/#/lte4uqyw
3	UK07PA2182	https://intouch.mapmyindia.com/track/#/lte4uxz6
4	UK07PA8527	https://intouch.mapmyindia.com/track/#/lte4v7mc
5	UK07PA8477	https://intouch.mapmyindia.com/track/#/lte4ve5l
6	UK07PA5860	https://intouch.mapmyindia.com/track/#/lte4vkuz
7	UK07PA0877	https://intouch.mapmyindia.com/track/#/lte4vr6o
8	UP07PA6898	https://intouch.mapmyindia.com/track/#/lte4vxmp
9	UK07PA1757_MMI362015	https://intouch.mapmyindia.com/track/#/lte6w9ii
10	UK07PA1757_MMI362048	https://intouch.mapmyindia.com/track/#/lte6wjfi
11	UK07PA0303	https://intouch.mapmyindia.com/track/#/lte6wviz
12	UK07PA8437	https://intouch.mapmyindia.com/track/#/lte6x1ma 
